Total_Stops,Price,Journey_Day,Journey_Month,Dep_hour,Dep_min,Arr_hour,Arr_min,Duration_hours,Duration_mins,Price_per_minute,Airline_Air Asia,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Trujet,Airline_Vistara,Airline_Vistara Premium economy,Source_Banglore,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Banglore,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Destination_New Delhi
1,8907.0,1,6,9,45,23,0,13.25,795,11.20377358490566,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,4174.0,18,4,20,20,22,55,2.58,154,27.103896103896105,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,4667.0,24,6,11,40,13,55,2.25,135,34.57037037037037,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,9663.0,9,5,21,10,9,20,12.17,730,13.236986301369862,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,4804.0,24,4,17,15,19,50,2.58,154,31.194805194805195,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2,14011.0,3,3,16,40,19,15,26.58,1594,8.789836888331243,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,5830.0,15,4,8,45,13,15,4.5,270,21.59259259259259,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,10262.0,12,6,14,0,12,35,22.58,1354,7.579025110782865,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,13381.0,12,6,20,15,19,15,23.0,1380,9.696376811594202,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,12898.0,27,5,16,0,12,35,20.58,1234,10.452188006482983,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,19495.0,6,3,14,10,19,20,5.17,310,62.88709677419355,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,6955.0,21,3,22,0,13,20,15.33,919,7.568008705114255,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3943.0,3,4,4,0,6,50,2.83,169,23.331360946745562,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,4823.0,1,5,18,55,21,50,2.92,175,27.56,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,7757.0,6,5,18,55,8,15,13.33,799,9.708385481852316,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2,13292.0,9,6,21,25,12,35,15.17,910,14.606593406593406,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,8238.0,1,6,21,50,3,35,5.75,345,23.878260869565217,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,7682.0,15,5,7,0,12,55,5.92,355,21.63943661971831,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,4668.0,18,6,9,45,12,35,2.83,169,27.62130177514793,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
0,3687.0,15,6,7,5,9,20,2.25,135,27.31111111111111,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
0,3687.0,18,6,7,5,9,20,2.25,135,27.31111111111111,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2,13227.0,1,5,9,50,23,15,13.42,805,16.431055900621118,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,4423.0,6,4,4,0,6,50,2.83,169,26.171597633136095,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2,10919.0,15,6,14,35,12,35,22.0,1320,8.271969696969697,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,12373.0,18,5,7,5,12,35,5.5,330,37.49393939393939,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,5894.0,27,6,10,35,21,0,10.42,625,9.4304,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,4649.0,21,5,15,5,20,20,5.25,315,14.75873015873016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,6245.0,18,5,14,15,16,45,2.5,150,41.63333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,19225.0,6,3,7,0,13,15,6.25,375,51.266666666666666,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,14924.0,3,6,7,5,19,0,11.92,715,20.87272727272727,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,9646.0,21,5,7,5,18,10,11.08,664,14.52710843373494,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,8714.0,15,3,6,45,15,15,8.5,510,17.08627450980392,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,12373.0,18,5,20,55,19,0,22.08,1324,9.345166163141993,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,3383.0,6,5,11,10,13,55,2.75,165,20.503030303030304,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,13062.0,21,3,9,0,21,0,12.0,720,18.141666666666666,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,3527.0,24,3,5,45,8,35,2.83,169,20.869822485207102,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3943.0,27,5,4,0,6,50,2.83,169,23.331360946745562,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,4667.0,3,5,11,40,13,55,2.25,135,34.57037037037037,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,6117.0,15,5,19,0,11,5,16.08,964,6.345435684647303,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2,11150.0,27,6,23,5,19,0,19.92,1195,9.330543933054393,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,7202.0,9,3,11,0,14,15,3.25,195,36.93333333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,12121.0,1,5,9,35,10,55,25.33,1519,7.979591836734694,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,4377.0,24,3,22,20,1,10,2.83,169,25.899408284023668,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3943.0,18,6,21,15,0,15,3.0,180,21.905555555555555,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,4483.0,3,4,23,55,2,45,2.83,169,26.526627218934912,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,14231.0,24,3,19,45,12,0,16.25,975,14.595897435897436,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2,17345.0,1,3,8,50,23,55,15.08,904,19.186946902654867,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,7414.0,6,3,7,5,9,20,2.25,135,54.91851851851852,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1,8073.0,6,5,19,0,1,30,6.5,390,20.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,12395.0,6,3,15,40,16,45,25.08,1504,8.241356382978724,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
1,8366.0,6,6,9,25,21,50,12.42,745,11.229530201342282,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,5117.0,3,4,6,5,9,25,27.33,1639,3.12202562538133,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,12524.0,3,6,8,45,19,0,10.25,615,20.364227642276422,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,7191.0,15,5,15,0,1,30,10.5,630,11.414285714285715,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,3687.0,24,5,7,5,9,20,2.25,135,27.31111111111111,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1,5894.0,24,6,10,35,21,0,10.42,625,9.4304,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,5403.0,24,4,9,45,12,35,2.83,169,31.97041420118343,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
0,3625.0,6,5,13,55,15,25,1.5,90,40.27777777777778,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2,10861.0,21,5,5,55,19,15,13.33,799,13.593241551939926,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,6297.0,12,3,13,20,15,35,2.25,135,46.644444444444446,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,5678.0,1,6,7,5,8,30,1.42,85,66.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,9134.0,9,3,5,45,8,15,26.5,1590,5.744654088050314,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,10791.0,24,6,11,40,19,0,7.33,439,24.580865603644646,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,12819.0,24,6,23,5,12,35,13.5,810,15.825925925925926,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,6893.0,21,3,5,5,10,5,5.0,300,22.976666666666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,7240.0,9,3,9,50,12,35,2.75,165,43.878787878787875,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
0,3898.0,3,4,11,40,14,30,2.83,169,23.06508875739645,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,4049.0,3,4,6,25,7,55,1.5,90,44.98888888888889,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,10262.0,15,6,17,30,12,35,19.08,1144,8.97027972027972,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,3332.0,21,3,8,20,10,35,2.25,135,24.68148148148148,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,10844.0,9,6,21,10,12,0,14.83,889,12.197975253093363,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,7229.0,24,3,19,55,22,35,2.67,160,45.18125,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,13941.0,6,5,6,30,4,40,22.17,1330,10.481954887218045,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,5894.0,27,6,11,25,21,0,9.58,574,10.268292682926829,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,10197.0,18,5,9,0,19,0,10.0,600,16.995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,13712.0,6,3,14,5,11,25,21.33,1279,10.720875684128226,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,5636.0,24,6,2,0,7,25,5.42,325,17.341538461538462,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,13014.0,6,6,9,40,4,25,18.75,1125,11.568,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,7064.0,1,4,8,25,20,45,12.33,739,9.558863328822733,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,10703.0,24,5,20,25,14,25,18.0,1080,9.910185185185185,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,9646.0,27,5,13,15,22,30,9.25,555,17.38018018018018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,17057.0,6,3,2,15,13,20,11.08,664,25.688253012048193,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,13817.0,12,3,16,55,10,25,17.5,1050,13.15904761904762,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,13748.0,6,3,5,55,19,15,13.33,799,17.20650813516896,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,4880.0,21,4,20,45,23,20,2.58,154,31.68831168831169,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,3540.0,21,6,5,15,7,40,2.42,145,24.413793103448278,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,3257.0,15,5,5,55,8,35,2.67,160,20.35625,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,6478.0,3,6,19,50,22,50,3.0,180,35.98888888888889,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,8040.0,18,6,7,5,8,30,1.42,85,94.58823529411765,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2,14300.0,12,6,20,0,12,35,16.58,994,14.386317907444669,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,14781.0,15,5,8,25,20,45,12.33,739,20.001353179972938,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,14939.0,9,6,20,0,8,15,12.25,735,20.325170068027212,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,10262.0,24,6,20,55,4,25,7.5,450,22.804444444444446,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,6528.0,12,5,14,35,14,35,24.0,1440,4.533333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,6121.0,1,5,6,10,8,55,2.75,165,37.096969696969694,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2,13029.0,18,5,19,30,4,25,8.92,535,24.353271028037383,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,11421.0,27,3,11,40,18,50,7.17,430,26.56046511627907,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,7574.0,27,3,4,45,19,15,14.5,870,8.705747126436782,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,11596.0,9,5,12,55,19,15,30.33,1819,6.374931280923584,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,15129.0,24,5,23,5,19,0,19.92,1195,12.660251046025104,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,13555.0,18,3,14,5,5,5,15.0,900,15.061111111111112,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,5780.0,12,4,18,55,21,50,2.92,175,33.02857142857143,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,9397.0,12,5,20,20,9,5,12.75,765,12.283660130718955,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1,17024.0,6,3,18,15,4,25,10.17,610,27.908196721311477,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,5281.0,27,6,7,0,12,55,5.92,355,14.87605633802817,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,10348.0,18,5,7,5,22,30,15.42,925,11.187027027027026,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,12677.0,6,3,17,20,9,25,16.08,964,13.150414937759336,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,15147.0,3,3,15,25,1,35,10.17,610,24.831147540983608,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,4668.0,12,6,7,0,9,40,2.67,160,29.175,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1,15554.0,9,5,7,5,19,0,11.92,715,21.753846153846155,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,3971.0,9,4,5,55,8,35,2.67,160,24.81875,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,3100.0,3,5,15,0,16,25,1.42,85,36.470588235294116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,9663.0,6,5,20,0,10,5,14.08,844,11.449052132701421,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,27430.0,1,3,23,0,19,15,20.25,1215,22.5761316872428,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,3540.0,12,5,5,15,7,40,2.42,145,24.413793103448278,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2,10676.0,21,5,12,0,11,10,23.17,1390,7.680575539568346,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,13044.0,12,6,14,5,8,15,18.17,1090,11.96697247706422,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,14388.0,6,5,20,0,12,0,16.0,960,14.9875,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,3943.0,24,6,4,0,6,50,2.83,169,23.331360946745562,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,3597.0,3,6,14,45,17,5,2.33,139,25.87769784172662,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,5932.0,21,3,11,50,19,50,8.0,480,12.358333333333333,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,10262.0,15,6,11,30,4,25,16.92,1015,10.110344827586207,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,6216.0,12,5,14,40,17,50,3.17,190,32.71578947368421,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
0,4804.0,15,6,20,25,23,10,2.75,165,29.115151515151513,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,14067.0,21,5,11,30,1,30,14.0,840,16.74642857142857,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,15129.0,18,5,19,10,19,0,23.83,1429,10.587123862841148,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,13376.0,6,6,6,45,4,25,21.67,1300,10.28923076923077,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,10441.0,27,6,22,0,19,15,21.25,1275,8.189019607843138,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,4030.0,24,5,6,0,8,45,2.75,165,24.424242424242426,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,17024.0,3,3,8,0,18,50,10.83,649,26.231124807395993,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,13017.0,9,4,17,30,1,30,8.0,480,27.11875,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,6686.0,6,6,23,30,7,45,8.25,495,13.507070707070707,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,5636.0,15,6,2,0,7,25,5.42,325,17.341538461538462,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,6442.0,9,6,7,35,16,10,8.58,514,12.53307392996109,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,9486.0,21,5,13,5,0,55,11.83,709,13.379407616361071,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,10844.0,21,5,20,0,23,35,27.58,1654,6.556227327690447,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2,15318.0,3,6,20,0,4,25,8.42,505,30.332673267326733,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,5117.0,3,4,12,30,9,25,20.92,1255,4.077290836653386,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,6147.0,24,6,15,10,20,0,4.83,289,21.269896193771626,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,7005.0,9,6,12,50,21,0,8.17,490,14.295918367346939,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,3873.0,3,4,22,20,0,40,2.33,139,27.863309352517987,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2,9270.0,21,3,18,25,18,50,24.42,1465,6.32764505119454,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,3898.0,27,6,11,40,14,30,2.83,169,23.06508875739645,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,14781.0,12,5,8,25,20,45,12.33,739,20.001353179972938,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,8586.0,24,5,20,0,8,15,12.25,735,11.681632653061225,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2,10697.0,9,5,8,20,7,55,23.58,1414,7.565063649222065,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2,14300.0,27,6,20,0,12,35,16.58,994,14.386317907444669,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,8855.0,3,3,18,55,21,45,2.83,169,52.396449704142015,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,10844.0,12,5,16,30,18,15,25.75,1545,7.0187702265372165,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,17024.0,6,3,2,15,4,25,26.17,1570,10.843312101910827,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,9314.0,1,5,9,35,14,25,28.83,1729,5.386928860613071,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,4777.0,24,3,0,40,3,25,2.75,165,28.951515151515153,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,7662.0,9,6,12,0,13,15,25.25,1515,5.0574257425742575,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,6442.0,9,5,6,50,16,10,9.33,559,11.524150268336316,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,5264.0,12,6,8,45,13,15,4.5,270,19.496296296296297,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,12898.0,27,5,13,0,4,25,15.42,925,13.943783783783784,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,6092.0,3,3,13,55,15,25,1.5,90,67.68888888888888,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,3311.0,21,5,5,55,8,35,2.67,160,20.69375,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,6540.0,27,3,19,15,4,25,9.17,550,11.89090909090909,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
